chembl_id,paper_label,canonical_smiles,standard_inchi_key,source_document_id,candidate_scope
CHEMBL5431908,17,COc1ccccc1OCCCN1CCN(C)CC1,UEXICGHAXFDQPZ-UHFFFAOYSA-N,PMC10726475,same_paper
CHEMBL5408134,18,COc1ccccc1OCCON1CCN(C)CC1,JDNVMPVUNNAUSV-UHFFFAOYSA-N,PMC10726475,same_paper
CHEMBL2448977,19,CCCCN(C)C,DJEQZVQFEPKLOY-UHFFFAOYSA-N,PMC10726475,same_paper
CHEMBL2448836,20,COCCCN(C)C,VIVLBCLZNBHPGE-UHFFFAOYSA-N,PMC10726475,same_paper
CHEMBL1209424,21,CN(C)CCCO,PYSGFFTXMUWEOT-UHFFFAOYSA-N,PMC10726475,same_paper
CHEMBL288441,3,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,UBPYILGKFZZVDX-UHFFFAOYSA-N,PMC10726475,same_paper
CHEMBL5435819,9,COc1cc(Nc2c(C#N)cnc3cc(OCCON4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,HFGUPJNHEPCEHX-UHFFFAOYSA-N,PMC10726475,same_paper
