chembl_id,paper_label,canonical_smiles,standard_inchi_key,source_document_id,candidate_scope
CHEMBL4160171,1,Cc1nn2c(-c3c(C)nn(C)c3-c3ccc(C(F)(F)F)cc3)nc(C)c2c(=O)[nH]1,AWLUMUGHLSXLNA-UHFFFAOYSA-N,PMC5807869,same_paper
CHEMBL4062397,2; PF-06815189,Cc1nn2c(-c3c(C)nn(C)c3-c3ccc(C(F)(F)F)cc3)nc(CO)c2c(=O)[nH]1,XLTUOMBYHVTYOT-UHFFFAOYSA-N,PMC5807869,same_paper
CHEMBL4171712,5,Cc1nn2c(-c3c(CO)nn(C)c3-c3ccc(C(F)(F)F)cc3)nc(C)c2c(=O)[nH]1,OUYXLAKOIQZOCV-UHFFFAOYSA-N,PMC5807869,same_paper
CHEMBL4088142,6,Cc1nn2c(-c3c(CO)nn(C)c3-c3ccc(C(F)(F)F)cc3)nc(CO)c2c(=O)[nH]1,LHTCLCPZDIGMJX-UHFFFAOYSA-N,PMC5807869,same_paper
