measurement_id,chembl_id,paper_label,endpoint,state,relation,value,error,units,assay_context,assay_id,assay_chembl_id,source_kind,source_ref
m_bos_9_hhep_cl,CHEMBL5435819,9,intrinsic_clearance,human_hepatocytes,=,34.3,,uL/min,human_hepatocyte_clearance,2364275,,ChEMBL,activity_25669000
m_bos_3_rhep_cl,CHEMBL288441,3,intrinsic_clearance,rat_hepatocytes,=,103.4,,uL/min,rat_hepatocyte_clearance,2364276,,ChEMBL,activity_25669001
m_bos_9_rhep_cl,CHEMBL5435819,9,intrinsic_clearance,rat_hepatocytes,=,178.2,,uL/min,rat_hepatocyte_clearance,2364276,,ChEMBL,activity_25669002
m_bos_9_mhep_cl,CHEMBL5435819,9,intrinsic_clearance,mouse_hepatocytes,=,60.1,,uL/min,mouse_hepatocyte_clearance,2364277,,ChEMBL,activity_25669004
m_bos_3_hhep_t_half,CHEMBL288441,3,hepatocyte_half_life,human,=,0.915,,hr,human_hepatocyte_half_life,2364278,,ChEMBL,activity_25669005
m_bos_9_hhep_t_half,CHEMBL5435819,9,hepatocyte_half_life,human,=,0.6733,,hr,human_hepatocyte_half_life,2364278,,ChEMBL,activity_25669006
m_bos_3_rhep_t_half,CHEMBL288441,3,hepatocyte_half_life,rat,=,0.2233,,hr,rat_hepatocyte_half_life,2364279,,ChEMBL,activity_25669007
m_bos_9_rhep_t_half,CHEMBL5435819,9,hepatocyte_half_life,rat,=,0.13,,hr,rat_hepatocyte_half_life,2364279,,ChEMBL,activity_25669008
m_bos_9_mhep_t_half,CHEMBL5435819,9,hepatocyte_half_life,mouse,=,0.385,,hr,mouse_hepatocyte_half_life,2364280,,ChEMBL,activity_25669009
m_bos_3_caco_apbl,CHEMBL288441,3,Papp,Caco2_AP_to_BL,=,0.9,,10^-6 cm/s,human_Caco2_AP_to_BL,2364281,,ChEMBL,activity_25669010
m_bos_9_caco_apbl,CHEMBL5435819,9,Papp,Caco2_AP_to_BL,=,1.1,,10^-6 cm/s,human_Caco2_AP_to_BL,2364281,,ChEMBL,activity_25669011
m_bos_3_caco_blap,CHEMBL288441,3,Papp,Caco2_BL_to_AP,=,10.9,,10^-6 cm/s,human_Caco2_BL_to_AP,2364282,,ChEMBL,activity_25669012
