chembl_id,paper_label,canonical_smiles,standard_inchi_key,source_document_id,candidate_scope
CHEMBL6189882,12a; VUF26044,CC(C)(C)NCC(O)c1ccc(/N=N/c2ccccc2)cc1,MCAHLDLHOQEYMA-QZQOTICOSA-N,PMC12225454,same_paper
CHEMBL6190593,trans-12b; VUF26034,CC(C)(C)NCC(O)c1cc(Cl)c(/N=N/c2ccccc2)c(Cl)c1,BKBQAPKNQMIKDI-GHVJWSGMSA-N,PMC12225454,same_paper
CHEMBL6188786,12c; VUF26125,CC(C)(C)NCC(O)c1ccc(/N=N/c2ccccc2)c(Cl)c1,OBFPFIZMHQMOFW-QURGRASLSA-N,PMC12225454,same_paper
CHEMBL6189087,12d; VUF26175,CC(C)(C)NCC(O)c1cc(Cl)c(/N=N/c2c(Cl)cccc2Cl)c(Cl)c1,FXPXGKCWEUQLCR-OCOZRVBESA-N,PMC12225454,same_paper
CHEMBL6188669,12e; VUF26202,CC(C)(C)NCC(O)c1cc(Cl)c(/N=N/c2ccccc2)c(C#N)c1,ZFKNBBCZWLFZAR-WCWDXBQESA-N,PMC12225454,same_paper
CHEMBL6189525,18; VUF26211,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C#N)c1,CGCHJJMCSJZEGH-UHFFFAOYSA-N,PMC12225454,same_paper
CHEMBL49080,Clenbuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,STJMRWALKKWQGH-UHFFFAOYSA-N,PMC12225454,same_paper
CHEMBL434,Isoprenaline,CC(C)NCC(O)c1ccc(O)c(O)c1,JWZZKOKVBUJMES-UHFFFAOYSA-N,PMC12225454,same_paper
CHEMBL27,Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-UHFFFAOYSA-N,PMC12225454,same_paper
